author,datasets_cited,num_datasets
"Jing Wang, Zhaofeng Chen, Xiaozhe Peng, Tiantian Yang, Peng Li, Fengyu Cong, Hong Li",ds003458,1
"Adreanna T. M. Watts, Anne Tootell, Spencer T. Fix, Selin Aviyente, Edward M. Bernat",ds003458,1
"Yan Shi, Shujing Yao, Zui Shen, Li-Jiao She, Yingling Xu, Boyi Liu, Yi Liang, Yongliang Jiang, Jing Sun, Yuanyuan Wu, Junying Du, Yilin Zhu, Zemin Wu, Jianqiao Fang, Xiaomei Shao",ds003458,1
"Sarah Grace Dalton, James F. Cavanagh, Jessica D. Richardson",ds003458,1
"Leon Lange, Roman Osinsky",ds003458,1
"Franz Wurm, Benjamin Ernst, Marco Steinhauser",ds003458,1
"Iulia Banica, Grace O. Allison, Sarah E. Racine, Dan Foti, Anna Weinberg",ds003458,1
"Johannes Rodrigues, Martin Weiß, Patrick Mussel, Johannes Hewig","ds003458,ds003474,ds003478",3
"Eric Rawls, Connie Lamm",ds003458,1
"Yachao Rong, Ningxuan Chen, Jiarui Dong, Qi Li, Xiaodong Yue, Li Hu, Ping Wei",ds003458,1
"Johannes Algermissen, Jennifer C. Swart, René Scheeringa, Roshan Cools, Hanneke E.M. den Ouden",ds003458,1
Markus Ullsperger,ds003458,1
"Nathan Hager, Matt R. Judah, Eric Rawls",ds003458,1
"Antoine Collomb‐Clerc, Maëlle C. M. Gueguen, Lorella Minotti, Philippe Kahane, Vincent Navarro, Fabrice Bartoloméi, Romain Carron, Jean Régis, Stéphan Chabardès, Stefano Palminteri, Julien Bastin",ds003458,1
"Brian Kim, Brian Erickson, Guadalupe Fernandez-Nuñez, Ryan Rich, Georgios Mentzelopoulos, Flavia Vitale, John D. Medaglia","ds002034,ds003458",2
"Huiping Jiang, Ya Zheng",ds003458,1
"Constanze Weber, Christian Bellebaum",ds003458,1
"Penelope E. Kehrer, Jonathan L. Brigman, James F. Cavanagh",ds003458,1
"Jennifer Firth, Bradley Standen, Alexander Sumich, Emanuele Fino, Nadja Heym",ds003458,1
"Michela Balconi, Laura Angioletti, Katia Rovelli",ds003458,1
"Samantha J. Reznik, Robin Nusslock, Narun Pornpattananangkul, Lyn Y. Abramson, James A. Coan, Eddie Harmon‐Jones",ds003458,1
"Ya Zheng, Shuting Mei","ds003458,ds003474",2
"Matthew D. Bachman, Adreanna T. M. Watts, Paul F. Collins, Edward M. Bernat",ds003458,1
"Harry J. Stewardson, Thomas D. Sambrook",ds003458,1
"Dara E. Babinski, Samantha Pegg, Michael West, Kodi B. Arfer, Autumn Kujawa",ds003458,1
"Charlotte Spay, Garance M. Meyer, Guillaume Lio, Gianni Pezzoli, Bénédicte Ballanger, Roberto Cilia, Philippe Boulinguez",ds003458,1
"Fabiola Alejandra Iribe-Burgos, Pedro Manuel Cortes, Juan Pablo García-Hernández, Carolina Sotelo-Tapia, Marisela Hernández‐González, Miguel Ángel Guevara",ds003458,1
"Danesh Shahnazian, Kurt D Shulver, Clay B. Holroyd",ds003458,1
"Alon Zivony, Martin Eimer",ds003458,1
"Qi Li, Ya Zheng, Jing Xiao, Kesong Hu, Zhong Yang",ds003458,1
"Eric Rawls, Rebecca White, Stephanie Kane, Carl E. Stevens, Darya L. Zabelina",ds003458,1
"Christopher Stolz, Alan D. Pickering, Erik M. Mueller","ds003458,ds003518,ds004532",3
"Miranda Francoeur Koloski, Christopher M. O’Hearn, Michelle Frankot, Lauren P. Giesler, Dhakshin Ramanathan, Cole Vonder Haar",ds003458,1
"Susanna L. Fryer, Tobias F. Marton, Brian J. Roach, Clay B. Holroyd, Samantha V. Abram, Ken J. Lau, Judith M. Ford, John R. McQuaid, Daniel H. Mathalon",ds003458,1
"Sadegh Ghaderi, Jamal Amani Rad, Mohammad Hemami, Reza Khosrowabadi",ds003458,1
"Heather E. Webber, Constanza de Dios, Danielle Kessler, Joy M. Schmitz, Scott D. Lane, Robert Suchting","ds003458,ds003474,ds003478,ds003506",4
