title,author,year,datasets_bridged,num_datasets
Decoding EEG for optimizing naturalistic memory,"Joseph H. Rudoler, James P Bruska, Woohyeuk Chang, Matthew Dougherty, Brandon S Katerman, David J. Halpern, Nicholas B. Diamond, Michael J. Kahana",2024,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on004100,on005261,on006126,on007262,on007895",19
Leveraging Generic Time Series Foundation Models for EEG Classification,"Théo Gnassounou, Yessin Moakher, Shifeng Xie, Vasilii Feofanov, I. Redko",2025,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on004100,on005261,on006126,on007262,on007895",19
Repurposing EEG monitoring of general anaesthesia for building biomarkers of brain ageing: An exploratory study,"David Sabbagh, Jérôme Cartailler, Cyril Touchard, Jona Joachim, Alexandre Mebazaa, Fabrice Vallée, Étienne Gayat, Alexandre Gramfort, Denis A. Engemann",2022,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on004100,on005261,on006126,on007262,on007895",19
Non-invasive Neural Decoding in Source Reconstructed Brain Space,"Yonatan Gideoni, R. Timms, Oiwi Parker Jones",2024,"nm000110,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000229,nm000244,nm000247,nm000336,on004100,on005261,on006126,on007262,on007895",19
"Connectomes, simultaneous EEG-fMRI resting-state data and brain simulation results from 50 healthy subjects","J. Meier, Paul Triebkorn, Michael Schirner, Petra Ritter",2024,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on004100,on005261,on006126,on007262,on007895",19
Decoding accuracies as well as ERP amplitudes do not show between-task correlations,"Benedikt V. Ehinger, Hannes Bonasch",2023,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on004100,on005261,on006126,on007262,on007895",19
Issues and recommendations from the OHBM COBIDAS MEEG committee for reproducible EEG and MEG research,"Cyril Pernet, Marta I. Garrido, Alexandre Gramfort, Natasha M. Maurits, Christoph M. Michel, Elizabeth W. Pang, Riitta Salmelin, Jan‐Mathijs Schoffelen, Pedro A. Valdés‐Sosa, Aina Puce",2020,"nm000125,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on002778,on004100,on005261,on005406,on005624,on005857,on006126,on007262,on007895",19
"Simultaneous human intracerebral stimulation and HD-EEG, ground-truth for source localization methods","Ezequiel Mikulan, S. Russo, Sara Parmigiani, Simone Sarasso, Flavia Maria Zauli, Annalisa Rubino, Pietro Avanzini, Anna Cattani, Alberto Sorrentino, Steve A. Gibbs, Francesco Cardinale, Ivana Sartori, Lino Nobili, Marcello Massimini, Andrea Pigorini",2020,"nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on002778,on004100,on005406,on005624,on005857,on006126,on007262,on007895",19
Best Practices in Data Analysis and Sharing in Neuroimaging using MEEG,"Cyril Pernet, Marta I. Garrido, Alexandre Gramfort, Natasha M. Maurits, Christoph M. Michel, Elizabeth W. Pang, Riitta Salmelin, Jan‐Mathijs Schoffelen, Pedro A. Valdés‐Sosa, Aina Puce",2018,"nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000247,nm000336,on002778,on004100,on005261,on005406,on005624,on005857,on006126,on007262,on007895",19
EEG and behavioral correlates of attentional processing while walking and navigating naturalistic environments,"Magnus Liebherr, Andrew W. Corcoran, Phillip M. Alday, Scott Coussens, Valeria Bellan, Caitlin A. Howlett, Maarten A. Immink, Mark Kohler, Matthias Schlesewsky, Ina Bornkessel‐Schlesewsky",2021,"nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on002778,on003039,on003620,on005406,on005857,on006126,on007262,on007895",19
Multicenter intracranial EEG dataset for classification of graphoelements and artifactual signals,"Petr Nejedlý, Václav Křemen, Vladimir Sladky, Jan Cimbálník, Petr Klimeš, Filip Plešinger, Filip Mívalt, Vojtěch Trávníček, Ivo Viščor, Martin Pail, Josef Halámek, Benjamin H. Brinkmann, Milan Brázdil, Pavel Jurák, Gregory A. Worrell",2020,"nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on002778,on004100,on005406,on005624,on005857,on006126,on007262,on007895",19
Pupillometry and electroencephalography in the digit span task,"Yuri G. Pavlov, Dauren Kasanov, Alexandra I. Kosachenko, Alexander I. Kotyusov, Niko A. Busch",2022,"nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on002778,on003655,on003838,on005406,on005857,on006126,on007262,on007895",19
