dataset_id,dataset_name,total_citations,cumulative_citations,high_confidence_citations,avg_confidence,total_citation_impact,max_single_citation_impact,citation_years_list
ds004595,ds004595,2,0,2,0.6195252877473831,0,0.0,"[0, 2023]"
ds005170,ds005170,1,0,1,0.7581493949890138,0,0.0,[2024]
ds005403,ds005403,2,0,2,0.6052344616502523,0,0.0,"[2025, 2024]"
ds004738,ds004738,1,0,1,0.7856231984496117,0,0.0,[2023]
ds005594,ds005594,1,0,1,0.4951208938658238,0,0.0,[2024]
ds005083,ds005083,1,0,1,0.9426569098234178,0,0.0,[2024]
ds005841,ds005841,1,0,1,0.5808972823619843,0,0.0,[2025]
ds004348,ds004348,2,0,2,0.8608636918663979,0,0.0,"[0, 2025]"
ds004587,ds004587,1,0,0,,0,,[]
ds004256,ds004256,1,0,1,0.46352614462375646,0,0.0,[0]
ds005106,ds005106,1,0,1,0.8669321000576021,0,0.0,[2025]
ds005507,ds005507,1,0,1,0.9031203031539918,0,0.0,[2024]
ds005512,ds005512,2,0,1,0.900108956694603,0,0.0,[2024]
ds004951,ds004951,1,0,1,0.6569674792885781,0,0.0,[2024]
ds005411,ds005411,1,0,1,0.6612489169836046,0,0.0,[2025]
