dataset_name,modalities,processed_date
ds003146,"anat,func",2025-09-17T12:07:15.492630
ds003136,"anat,fmap,func",2025-09-17T12:07:15.492697
ds002878,"anat,fmap,func",2025-09-17T12:07:15.492766
ds003095,"anat,func",2025-09-17T12:07:15.492832
ds003190,eeg,2026-01-14T17:14:35.117216
ds003216,"anat,func",2025-09-17T12:07:15.492965
ds003171,"anat,dwi,func",2025-09-17T12:07:15.493031
ds003233,"anat,func",2025-09-17T12:07:15.493102
ds003242,".ipynb_checkpoints,anat,fmap,func",2025-09-17T12:07:15.493168
ds003195,eeg,2026-01-14T17:14:35.984494
ds003194,eeg,2026-01-14T17:14:36.858389
ds003325,anat,2025-09-17T12:07:15.493366
ds003170,"anat,fmap,func",2025-09-17T12:07:15.493431
ds003342,"anat,func",2025-09-17T12:07:15.493499
ds003340,"anat,fmap,func",2025-09-17T12:07:15.493566
ds003345,"anat,func",2025-09-17T12:07:15.493635
ds003346,"anat,fmap,func",2025-09-17T12:07:15.493702
ds003338,"anat,func",2025-09-17T12:07:15.493767
ds003367,,2026-01-14T17:14:37.601532
ds003374,ieeg,2026-01-14T17:14:37.995042
ds003343,eeg,2026-01-14T17:14:38.812935
ds003380,eeg,2026-01-14T17:14:39.650887
ds003061,eeg,2026-01-14T17:14:40.188626
ds003082,"anat,meg",2025-09-17T12:07:15.494167
ds001839,"anat,func",2025-09-17T12:07:15.494232
ds001838,"anat,func",2025-09-17T12:07:15.494300
ds001796,"anat,dwi,fmap,func",2025-09-17T12:07:15.494381
ds002169,"anat,fmap,func",2025-09-17T12:07:15.494450
ds001847,"anat,func",2025-09-17T12:07:15.494525
ds002382,"anat,func",2025-09-17T12:07:15.494588
ds002134,"anat,func",2025-09-17T12:07:15.494650
ds003029,ieeg,2026-01-14T17:14:40.764994
ds003097,"anat,dwi,func",2025-09-17T12:07:15.494855
ds002241,"anat,func",2025-09-17T12:07:15.494932
ds003416,"anat,dwi",2025-09-17T12:07:15.495005
ds003417,anat,2025-09-17T12:07:15.495080
ds001751,"anat,fmap,func",2025-09-17T12:07:15.495149
ds001814,"anat,func",2025-09-17T12:07:15.495220
ds002647,"anat,func",2025-09-17T12:07:15.495284
ds002602,"anat,dwi,fmap,func",2025-09-17T12:07:15.495348
ds002672,"anat,func",2025-09-17T12:07:15.495417
ds002634,"anat,beh,dwi,fmap,func",2025-09-17T12:07:15.495487
ds002674,"anat,fmap,func",2025-09-17T12:07:15.495551
ds001780,anat,2025-09-17T12:07:15.495618
ds002608,"anat,func",2025-09-17T12:07:15.495682
ds002158,"anat,eeg,fmap,func",2025-09-17T12:07:15.495746
ds003392,"anat,meg",2025-09-17T12:07:15.495816
ds003420,eeg,2026-01-14T17:14:41.553941
ds003421,eeg,2026-01-14T17:14:42.503747
ds003192,"anat,fmap,func",2025-09-17T12:07:15.496013
ds002116,"anat,func",2025-09-17T12:07:15.496076
ds003424,"anat,dwi,fmap,func",2025-09-17T12:07:15.496138
ds002813,"anat,func",2025-09-17T12:07:15.496201
ds003433,"anat,func",2025-09-17T12:07:15.496263
ds003434,"anat,func",2025-09-17T12:07:15.496325
ds003438,"anat,func",2025-09-17T12:07:15.496388
ds003439,"anat,func",2025-09-17T12:07:15.496454
ds003440,"anat,func",2025-09-17T12:07:15.496516
ds003441,"anat,func",2025-09-17T12:07:15.496578
ds003443,"anat,func",2025-09-17T12:07:15.496644
ds003442,"anat,func",2025-09-17T12:07:15.496706
ds003444,"anat,func",2025-09-17T12:07:15.496770
ds003445,"anat,func",2025-09-17T12:07:15.496834
ds003446,"anat,func",2025-09-17T12:07:15.496904
ds003452,"anat,fmap,func",2025-09-17T12:07:15.496969
ds003430,anat,2025-09-17T12:07:15.497031
ds003454,func,2025-09-17T12:07:15.497091
ds003437,"anat,fmap,func",2025-09-17T12:07:15.497152
ds003455,"fmap,func",2025-09-17T12:07:15.497212
ds003453,"anat,fmap,func",2025-09-17T12:07:15.497278
ds003458,eeg,2026-01-14T17:14:43.416228
ds003459,"anat,func",2025-09-17T12:07:15.497401
ds003463,anat,2025-09-17T12:07:15.497461
ds003464,"anat,func",2025-09-17T12:07:15.497522
ds003470,"anat,func",2025-09-17T12:07:15.497582
ds003478,eeg,2026-01-14T17:14:43.986565
ds003466,"anat,func",2025-09-17T12:07:15.497705
ds003481,"anat,func",2025-09-17T12:07:15.497766
ds003483,meg,2026-01-14T17:14:44.654430
ds003490,eeg,2026-01-14T17:14:45.466559
ds003465,"anat,fmap,func",2025-09-17T12:07:15.497953
ds003495,"anat,dwi,func",2025-09-17T12:07:15.498022
ds002835,"anat,fmap,func",2025-09-17T12:07:15.498086
ds003506,eeg,2026-01-14T17:14:46.349887
ds003474,eeg,2026-01-14T17:14:47.172428
ds003507,"anat,fmap,func",2025-09-17T12:07:15.498268
ds003509,eeg,2026-01-14T17:14:47.797548
ds003516,eeg,2026-01-14T17:14:48.734287
ds003468,"anat,func",2025-09-17T12:07:15.498452
ds003517,eeg,2026-01-14T17:14:49.273447
ds003518,eeg,2026-01-14T17:14:49.815028
ds003469,"anat,fmap,func",2025-09-17T12:07:15.498645
ds003519,eeg,2026-01-14T17:14:50.728393
ds003521,"anat,func",2025-09-17T12:07:15.498775
ds003522,eeg,2026-01-14T17:14:51.565723
ds003523,eeg,2026-01-14T17:14:52.426889
ds003524,"anat,func",2025-09-17T12:07:15.498957
ds003542,"anat,func",2025-09-17T12:07:15.499023
ds003545,"anat,func",2025-09-17T12:07:15.499083
ds003540,"anat,func",2025-09-17T12:07:15.499143
ds003520,"anat,func",2025-09-17T12:07:15.499208
ds003548,"anat,func",2025-09-17T12:07:15.499271
ds003500,"anat,func",2025-09-17T12:07:15.499332
ds001785,eeg,2026-01-14T17:14:53.258621
ds003552,"eeg,motion",2025-09-17T12:07:15.499453
ds003436,"anat,fmap,func",2025-09-17T12:07:15.499514
