dataset_id,dataset_name,total_citations,cumulative_citations,high_confidence_citations,avg_confidence,total_citation_impact,max_single_citation_impact,citation_years_list
ds003887,Capacity for movement is an organisational principle in object representations: EEG data from Experiment 2,3,2,3,0.7062223016222319,2,2.0,"[0, 2022, 2023]"
ds003522,EEG: Three-Stim Auditory Oddball and Rest in Acute and Chronic TBI,5,2,5,0.7068779123425485,2,2.0,"[2024, 2024, 2024, 2024, 2021]"
ds004040,Trance channeling EEG study,2,2,2,0.5944968415796756,2,2.0,"[0, 2023]"
ds003800,Auditory Gamma Entrainment,4,2,4,0.8522432183474303,2,1.0,"[0, 2022, 2021, 2021]"
ds004660,TNO,2,2,0,,0,,[]
ds004519,Internal selective attention is delayed by competition between endogenous and exogenous factors,3,2,1,0.8426815429329872,0,0.0,[2023]
ds005486,PREDICT,1,2,1,0.4948105823993683,2,2.0,[2024]
ds003944,EEG: First Episode Psychosis vs. Control Resting Task 1,7,2,7,0.6595718926191331,2,2.0,"[2022, 2024, 2024, 2024, 2024, 2023, 2024]"
ds003885,Capacity for movement is an organisational principle in object representations: EEG data from Experiment 1,2,2,2,0.7447337213158609,2,2.0,"[0, 2022]"
ds004952,ChineseEEG: A Chinese Linguistic Corpora EEG Dataset for Semantic Alignment and Neural Decoding,2,2,2,0.9036723494529724,2,2.0,"[2024, 0]"
ds004551,"iEEG on children during slow wave sleep
",3,2,2,0.5249597422778607,2,1.0,"[2023, 2023]"
ds004369,Blink-Pause-Relation (Competing Speaker Paradigm),1,1,1,0.6187613394856454,1,1.0,[2022]
ds005692,SpinalExpect_NonInvasive,3,1,2,0.650366811901331,1,1.0,"[2025, 2025]"
ds004196,Bimodal dataset on Inner speech,1,1,1,0.9958055019378664,1,1.0,[2023]
ds004350,Executive Functionning Study for Assessing the Effect of Neurofeedback,2,1,2,0.4738243071734905,1,1.0,"[2024, 0]"
ds005089,Proactive selective attention across competition contexts,1,1,1,0.8218881618976593,1,1.0,[2024]
